,country,region,ladder_score,Std Err,upperwhisker,lowerwhisker,GDP_per_capita,Social support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,ladder_score_in_dystopia,eb_GDP_per_capita,eb_social_support,eb_healthy_life_expectancy,eb_freedom_to_make_life_choices,eb_generosity,eb_perceptions_of_corruption,dystopia_plus_residual,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
66,Montenegro,Central and Eastern Europe,5.581,0.054000000000000006,5.686,5.475,9.94,0.858,68.699,0.708,-0.034,0.812,2.43,1.155,0.8909999999999999,0.637,0.397,0.166,0.081,2.254,Europe,100252,1613.0,98352.0,287.0,6.0,159600,2568.0,450953.0,717912.0,628145
67,Dominican Republic,Latin America and Caribbean,5.545,0.071,5.685,5.405,9.802,0.853,66.102,0.86,-0.133,0.7140000000000001,2.43,1.1059999999999999,0.879,0.555,0.581,0.10099999999999999,0.14400000000000002,2.178,North America,325221,3822.0,266079.0,55320.0,376.0,29684,349.0,1711877.0,156249.0,10956064
69,Russia,Commonwealth of Independent States,5.477,0.033,5.541,5.412999999999999,10.189,0.903,64.703,0.718,-0.111,0.845,2.43,1.2409999999999999,0.992,0.511,0.409,0.115,0.06,2.148,Europe,5514599,135214.0,5000393.0,378992.0,2300.0,37772,926.0,149600000.0,1024680.0,145996812
72,Malaysia,Southeast Asia,5.3839999999999995,0.049,5.48,5.289,10.238,0.8170000000000001,67.102,0.895,0.125,0.8390000000000001,2.43,1.2590000000000001,0.797,0.5870000000000001,0.624,0.27,0.064,1.784,Asia,751979,5170.0,682680.0,64129.0,905.0,22942,158.0,14557356.0,444120.0,32777993
74,China,East Asia,5.3389999999999995,0.028999999999999998,5.397,5.281000000000001,9.673,0.8109999999999999,69.593,0.904,-0.146,0.755,2.43,1.061,0.785,0.665,0.636,0.09300000000000001,0.11699999999999999,1.982,Asia,91792,4636.0,86718.0,438.0,8.0,64,3.0,160000000.0,111163.0,1439323776
77,Bulgaria,Central and Eastern Europe,5.266,0.054000000000000006,5.371,5.16,10.016,0.9309999999999999,67.0,0.7879999999999999,-0.096,0.932,2.43,1.181,1.055,0.583,0.494,0.125,0.005,1.8230000000000002,Europe,421829,18061.0,394657.0,9111.0,179.0,61168,2619.0,3192798.0,462976.0,6896247
78,Maldives,South Asia,5.1979999999999995,0.07200000000000001,5.3389999999999995,5.0569999999999995,9.826,0.9129999999999999,70.6,0.8540000000000001,0.024,0.825,2.43,1.115,1.015,0.6970000000000001,0.575,0.204,0.073,1.52,Asia,73798,210.0,69974.0,3614.0,90.0,134181,382.0,1013597.0,1842937.0,549990
80,Cameroon,Sub-Saharan Africa,5.142,0.07400000000000001,5.287999999999999,4.996,8.189,0.71,53.515,0.731,0.026000000000000002,0.848,2.43,0.5429999999999999,0.556,0.159,0.425,0.205,0.057999999999999996,3.195,Africa,80858,1324.0,78224.0,1310.0,152.0,2973,49.0,1751774.0,64403.0,27200175
81,Senegal,Sub-Saharan Africa,5.132000000000001,0.068,5.266,4.998,8.118,0.71,59.802,0.695,-0.046,0.8009999999999999,2.43,0.518,0.5579999999999999,0.35700000000000004,0.381,0.158,0.08800000000000001,3.071,Africa,43128,1166.0,41429.0,533.0,13.0,2510,68.0,564537.0,32859.0,17180661
82,Albania,Central and Eastern Europe,5.117,0.059000000000000004,5.234,5.001,9.52,0.6970000000000001,68.999,0.785,-0.03,0.9009999999999999,2.43,1.008,0.529,0.6459999999999999,0.491,0.168,0.024,2.25,Europe,132521,2456.0,130009.0,56.0,3.0,46100,854.0,805546.0,280223.0,2874665
83,Ghana,Sub-Saharan Africa,5.088,0.067,5.218999999999999,4.958,8.58,0.727,57.586000000000006,0.807,0.12300000000000001,0.848,2.43,0.68,0.595,0.287,0.517,0.268,0.057999999999999996,2.6839999999999997,Africa,95914,796.0,93444.0,1674.0,9.0,3024,25.0,1276266.0,40241.0,31715929
84,Niger,Sub-Saharan Africa,5.074,0.102,5.273,4.875,7.098,0.6409999999999999,53.78,0.8059999999999999,0.018000000000000002,0.693,2.43,0.162,0.402,0.16699999999999998,0.516,0.2,0.157,3.47,Africa,5489,193.0,5206.0,90.0,2.0,219,8.0,118441.0,4724.0,25071496
85,Gambia,Sub-Saharan Africa,5.051,0.08900000000000001,5.225,4.877,7.686,0.69,55.16,0.6970000000000001,0.424,0.746,2.43,0.36700000000000005,0.511,0.21,0.384,0.465,0.12300000000000001,2.99,Africa,6079,181.0,5858.0,40.0,3.0,2447,73.0,82460.0,33199.0,2483835
86,Benin,Sub-Saharan Africa,5.045,0.073,5.189,4.901,8.087,0.489,54.713,0.757,-0.034,0.6609999999999999,2.43,0.507,0.057999999999999996,0.196,0.457,0.166,0.17800000000000002,3.4819999999999998,Africa,8199,104.0,8000.0,95.0,5.0,659,8.0,604310.0,48588.0,12437511
88,Bangladesh,South Asia,5.025,0.046,5.115,4.934,8.454,0.693,64.8,0.877,-0.040999999999999995,0.682,2.43,0.635,0.52,0.514,0.603,0.161,0.16399999999999998,2.427,Asia,913258,14503.0,816250.0,82505.0,1190.0,5491,87.0,6608927.0,39736.0,166320679
89,Guinea,Sub-Saharan Africa,4.984,0.09,5.16,4.808,7.837999999999999,0.639,55.008,0.6970000000000001,0.095,0.7659999999999999,2.43,0.42,0.39899999999999997,0.20600000000000002,0.384,0.25,0.111,3.216,Africa,23770,171.0,22456.0,1143.0,24.0,1763,13.0,468438.0,34737.0,13485302
90,South Africa,Sub-Saharan Africa,4.956,0.06,5.074,4.8389999999999995,9.402999999999999,0.86,56.903999999999996,0.7490000000000001,-0.067,0.86,2.43,0.9670000000000001,0.895,0.265,0.447,0.14400000000000002,0.051,2.187,Africa,1973972,60647.0,1748042.0,165283.0,546.0,32871,1010.0,13062835.0,217527.0,60051644
91,Turkey,Middle East and North Africa,4.948,0.046,5.038,4.857,10.24,0.8220000000000001,67.199,0.5760000000000001,-0.139,0.7759999999999999,2.43,1.26,0.809,0.59,0.23600000000000002,0.09699999999999999,0.10400000000000001,1.8519999999999999,Asia,5425652,49732.0,5294285.0,81635.0,727.0,63651,583.0,60786975.0,713117.0,85241182
92,Pakistan,South Asia,4.934,0.068,5.066,4.802,8.458,0.6509999999999999,58.708999999999996,0.726,0.098,0.787,2.43,0.637,0.423,0.322,0.418,0.252,0.09699999999999999,2.784,Asia,958408,22321.0,904320.0,31767.0,1844.0,4257,99.0,14590230.0,64803.0,225146012
93,Morocco,Middle East and North Africa,4.918,0.06,5.0360000000000005,4.8,8.902999999999999,0.56,66.208,0.774,-0.23600000000000002,0.8009999999999999,2.43,0.792,0.21899999999999997,0.5579999999999999,0.47700000000000004,0.034,0.08800000000000001,2.7489999999999997,Africa,531361,9296.0,517576.0,4489.0,154.0,14228,249.0,6835770.0,183042.0,37345323
94,Venezuela,Latin America and Caribbean,4.8919999999999995,0.064,5.0169999999999995,4.7669999999999995,9.073,0.861,66.7,0.615,-0.16899999999999998,0.8270000000000001,2.43,0.852,0.897,0.574,0.284,0.078,0.07200000000000001,2.135,South America,272712,3119.0,253946.0,15647.0,356.0,9618,110.0,3359014.0,118460.0,28355608
96,Algeria,Middle East and North Africa,4.887,0.053,4.9910000000000005,4.783,9.342,0.802,66.005,0.48,-0.067,0.752,2.43,0.946,0.765,0.552,0.11900000000000001,0.14400000000000002,0.12,2.242,Africa,139626,3716.0,97089.0,38821.0,32.0,3128,83.0,230861.0,5172.0,44636630
97,Ukraine,Commonwealth of Independent States,4.875,0.052000000000000005,4.977,4.773,9.436,0.888,64.902,0.7240000000000001,-0.011000000000000001,0.924,2.43,0.9790000000000001,0.958,0.517,0.41700000000000004,0.18100000000000002,0.01,1.8130000000000002,Europe,2235801,52391.0,2168387.0,15023.0,177.0,51431,1205.0,10861246.0,249847.0,43471635
